date,ALLSKY_KT
14/10/2020,0.45
15/10/2020,0.56
16/10/2020,0.49
17/10/2020,0.59
18/10/2020,0.52
19/10/2020,0.52
20/10/2020,0.59
21/10/2020,0.53
22/10/2020,0.58
23/10/2020,0.41
24/10/2020,0.53
25/10/2020,0.59
26/10/2020,0.43
27/10/2020,0.52
28/10/2020,0.63
29/10/2020,0.38
30/10/2020,0.53
31/10/2020,0.58
01/11/2020,0.47
02/11/2020,0.43
03/11/2020,0.5
04/11/2020,0.48
05/11/2020,0.39
06/11/2020,0.59
07/11/2020,0.27
08/11/2020,0.55
09/11/2020,0.46
10/11/2020,0.57
11/11/2020,0.54
12/11/2020,0.55
13/11/2020,0.55
14/11/2020,0.33
15/11/2020,0.53
16/11/2020,0.52
17/11/2020,0.3
18/11/2020,0.35
19/11/2020,0.24
20/11/2020,0.5
21/11/2020,0.2
22/11/2020,0.54
23/11/2020,0.45
24/11/2020,0.5
25/11/2020,0.53
26/11/2020,0.3
27/11/2020,0.25
28/11/2020,0.59
29/11/2020,0.36
30/11/2020,0.48
01/12/2020,0.59
02/12/2020,0.53
03/12/2020,0.47
04/12/2020,0.41
05/12/2020,0.41
06/12/2020,0.3
07/12/2020,0.51
08/12/2020,0.54
09/12/2020,0.37
10/12/2020,0.53
11/12/2020,0.38
12/12/2020,0.48
13/12/2020,0.52
14/12/2020,0.45
15/12/2020,0.38
16/12/2020,0.5
17/12/2020,0.58
18/12/2020,0.39
19/12/2020,0.4
20/12/2020,0.43
21/12/2020,0.2
22/12/2020,0.26
23/12/2020,0.55
24/12/2020,0.54
25/12/2020,0.5
26/12/2020,0.59
27/12/2020,0.49
28/12/2020,0.58
29/12/2020,0.42
30/12/2020,0.39
31/12/2020,0.46
